response_time_before,response_time_after,group
106.8655157958154,90.8756079464627,experimental
101.23915354636436,95.28751353052785,experimental
95.80770639953955,94.44440389079404,experimental
100.20258570992831,91.78661924211669,experimental
109.04578068445866,104.47132633768332,experimental
105.99866863053751,103.53673252482703,experimental
100.060714523993,98.36143236826078,experimental
109.68391257740002,108.29136807890022,experimental
99.8224311827955,106.9754504650145,experimental
98.3763286873461,98.6294784810904,experimental
97.08533542787897,101.41396834275187,experimental
99.27254510176718,106.1832989706731,experimental
103.99464072021365,100.04518573549508,experimental
96.42952339205864,106.69713022395126,experimental
107.38503777681635,93.64897132163799,experimental
104.53435621844726,99.74501087008986,experimental
95.9528491192002,102.53162737312252,experimental
89.72220057225775,97.54790078855912,experimental
99.42818733086261,92.58082819550299,experimental
96.10025075893812,96.36290758785135,experimental
111.86753077209698,101.49477747431885,experimental
108.3595697430209,97.24813153853056,experimental
99.3373896028392,97.81757129344602,experimental
84.38514839532652,103.88635629239029,experimental
100.26053928254906,96.66063924333491,experimental
102.0251707183288,115.42669292749086,experimental
97.50491763567003,99.85377793497766,experimental
96.7816926925428,101.42170864393773,experimental
106.56184810730811,101.52844950320085,experimental
102.82876409869144,108.13781532628805,experimental
99.9825722232474,99.46229134110168,experimental
102.17609382470616,91.12078814995753,experimental
98.75828980315609,100.45611024404549,experimental
104.24799812691953,101.20655377423348,experimental
96.05233046960892,91.51974695468904,experimental
98.19442136621977,93.60197164554533,experimental
99.23527819990414,110.03487181895596,experimental
97.64844055913393,100.46666777946248,experimental
94.98368938860983,104.50701183044139,experimental
106.33876034799204,94.81345538320961,experimental
109.99937429631763,101.42259520397452,experimental
85.32461458010033,105.14984242924733,experimental
98.31188799876652,102.51741113505909,experimental
98.00703073374898,108.03148255426545,experimental
91.6535786430378,100.62642596813092,experimental
106.41185376151594,96.41106992343182,experimental
103.60440766434282,94.02327316352343,experimental
105.02899582594651,103.00312605833763,experimental
107.20321388238578,100.07247615984866,experimental
109.00905245482511,96.73516400881971,experimental
108.33236495445485,102.35090161090604,experimental
100.53391298079868,89.72164344799198,experimental
102.44045407601533,103.25303126830309,experimental
103.20522715271089,99.79813788440644,experimental
108.53830601632106,108.06045549556633,experimental
100.89358280879127,86.22066825124404,experimental
98.54638814406157,93.92151600014058,experimental
102.2811670592624,113.95034561388513,experimental
92.29191506933586,93.41568584408121,experimental
99.67097119111257,101.05819160951499,experimental
106.51933977297054,100.73217386267655,experimental
101.57244645062767,101.09572763713246,experimental
97.94752461286316,96.48225429111501,experimental
97.96864964141018,112.6027147776547,experimental
104.81500822048268,95.69910920405715,experimental
100.12021978844527,99.09836599531185,experimental
101.07906147929543,97.5812261086517,experimental
107.08107631331796,94.86381800425251,experimental
100.76984379537123,99.67712063360459,experimental
101.1193465627038,96.85437292002412,experimental
112.55181226576603,97.00992038518214,experimental
96.50975608048148,95.55929868988252,experimental
91.00405249088283,100.26734076668443,experimental
101.6144688120835,103.18665484988334,experimental
105.96002815846926,111.29630393078821,experimental
100.17232121693846,98.12113968176698,experimental
101.80413080773032,101.11245002738234,experimental
110.02105647867015,101.73751416951939,experimental
104.65302145511959,112.34709691512461,experimental
102.04796252004626,100.95050112948046,experimental
96.69793995463644,99.1375626347225,experimental
115.07162473802238,98.98973646944458,experimental
103.3105939477413,101.96541378749579,experimental
93.92084133065794,113.17128154013137,experimental
101.16540155412386,100.72856577210973,experimental
107.74363564520912,95.985081245129,experimental
101.36609994187543,101.16775860852218,experimental
107.48056161883802,108.81177751398334,experimental
98.60001416871454,98.60246030961954,experimental
100.97404928103806,101.29540790108045,experimental
95.11693888319381,103.53775430684253,experimental
106.49958563636892,95.024377499994,experimental
104.52123132986766,101.52764760941835,experimental
95.48025643077132,95.74866608706012,experimental
96.89688069642568,94.44241928414789,experimental
102.4494698700547,100.22596637347829,experimental
102.88069530825281,99.08694283223633,experimental
109.87681879963877,107.50218141638106,experimental
104.63551108363664,102.51745639144156,experimental
102.91412176827853,104.87273253704191,experimental
